Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item,Claim Amount,Status,Close Amount,Disposition
2.00901E+12,8-Jan-09,12/19/08 0:00,MCO,Orlando International Airport,AirTran Airlines,Passenger Property Loss,Checkpoint,Watches - Expensive more than $100,$371.00 ,Settled,$241.15 ,Settle
2.00901E+12,8-Jan-09,12/26/08 0:00,AUS,Austin-Bergstrom International Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Computer - Laptop,$1;047.53 ,Settled,$443.46 ,Settle
2.00901E+12,8-Jan-09,12/7/08 0:00,LAX,Los Angeles International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Lighters - (cigar; cigerette; etc.),$100.00 ,Settled,$42.76 ,Settle
2.00901E+12,9-Jan-09,12/30/08 0:00,SEA,Seattle-Tacoma International,Southwest Airlines,Passenger Property Loss,Checkpoint,Cameras - Digital,$215.00 ,Approved,$215.00 ,Approve in Full
2.00901E+12,9-Jan-09,9/8/08 0:00,IAD,Washington Dulles International,Air France,Property Damage,Checked Baggage,Luggage (all types including footlockers),$17.49 ,Approved,$17.49 ,Approve in Full
2.00901E+12,9-Jan-09,12/10/08 0:00,GEG,Spokane International,Alaska Airlines,Passenger Property Loss,Checkpoint,Currency; Other,$300.00 ,Approved,$300.00 ,Approve in Full
2.00901E+12,9-Jan-09,1/3/09 0:00,OAK,Metropolitan Oakland International,Alaska Airlines,Passenger Property Loss,Checkpoint,Other,$359.31 ,Canceled,$0.00 ,
2.00901E+12,9-Jan-09,1/6/09 0:00,AUS,Austin-Bergstrom International Airport,Continental Airlines,Property Damage,Checkpoint,Cell Phones,$378.86 ,Canceled,$0.00 ,
2.00901E+12,9-Jan-09,,MCI,Kansas City International,,Passenger Property Loss,Checked Baggage,Cameras - Digital; Jewelry - Fine; MP3 Players-(iPods; etc),$961.00 ,Closed as a contractor claim,$0.00 ,
2.0081E+12,9-Jan-09,10/1/08 0:00,PSC,Tri-Cities,Delta Air Lines,Personal Injury,Checkpoint,,$20;000.00 ,Denied,$0.00 ,Deny
2.01001E+12,30-Dec-09,1/15/10 0:00,SLC,Salt Lake City International Airport,Delta Air Lines,Passenger Property Loss,Checkpoint,Other; Video Recordings (blank & commercial),$428.92 ,Canceled,,
2.00912E+12,30-Dec-09,10/19/09 14:35,LAX,Los Angeles International Airport,American Airlines,Property Damage,Checked Baggage,Dishes; Pottery; Glassware; Plasticware,$60.00 ,Denied,$0.00 ,Deny
